date,home_team_fg,away_team_fg,model_home_prob,market_home_prob,edge,recommended_side,kelly_pct,suggested_dollars,home_win,theoretical_pnl,actual_side,actual_dollars,actual_pnl,notes
2026-08-07,ARI,LAD,0.5393,0.3819,0.1574,YES,0.075,7.88,1.0,12.75,home,7.0,11.33,
2026-08-07,PHI,TOR,0.5232,0.6598,-0.1366,NO,0.075,7.88,0.0,15.28,away,7.0,13.58,
2026-08-07,BOS,OAK,0.5999,0.7075,-0.1076,NO,0.0608,6.39,1.0,-6.39,,,,
2026-08-07,KCR,CHC,0.4921,0.3925,0.0996,YES,0.0656,6.89,0.0,-6.89,home,6.0,-6.0,
2026-08-07,CHW,CLE,0.5082,0.4336,0.0746,YES,0.0527,5.54,0.0,-5.54,home,5.0,-5.0,
2026-08-07,SFG,DET,0.5001,0.4489,0.0512,none,0.0,0.0,1.0,0.0,,,,
2026-08-07,SEA,TBR,0.5687,0.518,0.0507,none,0.0,0.0,0.0,0.0,,,,
2026-08-07,MIA,LAA,0.5297,0.5798,-0.0501,none,0.0,0.0,0.0,0.0,,,,
2026-08-07,PIT,NYM,0.5101,0.5557,-0.0456,none,0.0,0.0,0.0,0.0,,,,
2026-08-07,STL,COL,0.6488,0.6069,0.0419,none,0.0,0.0,1.0,0.0,,,,
2026-08-07,MIL,MIN,0.5745,0.6096,-0.0351,none,0.0,0.0,0.0,0.0,,,,
2026-08-07,WSN,CIN,0.498,0.5246,-0.0266,none,0.0,0.0,1.0,0.0,,,,
2026-08-07,SDP,HOU,0.5472,0.523,0.0242,none,0.0,0.0,0.0,0.0,,,,
2026-08-07,NYY,ATL,0.5525,0.5571,-0.0046,none,0.0,0.0,1.0,0.0,,,,
2026-08-07,TEX,BAL,0.5773,0.5748,0.0025,none,0.0,0.0,1.0,0.0,,,,
2026-08-08,ARI,LAD,0.4886,0.3598,0.1288,YES,0.075,7.88,0.0,-7.88,,,,
2026-08-08,BOS,OAK,0.5844,0.7014,-0.117,NO,0.0667,7.01,0.0,16.47,,,,
2026-08-08,CHW,CLE,0.5318,0.4429,0.0889,YES,0.0638,6.71,1.0,8.44,home,5.5,6.92,
2026-08-08,KCR,CHC,0.4859,0.4016,0.0843,YES,0.0564,5.92,1.0,8.82,,,,
2026-08-08,NYY,ATL,0.4998,0.4228,0.077,YES,0.0534,5.61,1.0,7.66,home,5.5,7.51,
2026-08-08,MIA,LAA,0.5242,0.5961,-0.0719,NO,0.0482,5.07,1.0,-5.07,away,5.0,-5.0,
2026-08-08,PHI,TOR,0.5375,0.6043,-0.0668,none,0.0,0.0,0.0,0.0,,,,
2026-08-08,SEA,TBR,0.5834,0.5199,0.0635,none,0.0,0.0,0.0,0.0,,,,
2026-08-08,STL,COL,0.6477,0.588,0.0597,none,0.0,0.0,0.0,0.0,,,,
2026-08-08,TEX,BAL,0.519,0.5772,-0.0582,none,0.0,0.0,1.0,0.0,,,,
2026-08-08,MIL,MIN,0.6037,0.5659,0.0378,none,0.0,0.0,1.0,0.0,,,,
